FLIGHT NUMBER,DESTINATION,DEPARTURE TIME,GATE NUMBER
IW345,Abbeville,00:00,P0
ZP870,Abbotsford,00:01,N5
IG065,Abbott,00:02,G4
DW417,Abbottsburg,00:04,F4
DT775,Abbottstown,00:05,X1
LV977,Abbyville,00:07,T7
AR047,Abell,00:08,C2
MS428,Abercrombie,00:10,J9
MX921,Aberdeen,00:11,N6
EM996,Aberfoil,00:12,M6
QC555,Abernant,00:14,D2
LQ257,Abernathy,00:15,H4
RA316,Abeytas,00:17,E9
BK091,Abie,00:18,W7
TM633,Abilene,00:20,H8
ZE968,Abingdon,00:21,O8
ZJ736,Abington,00:23,S9
DI751,Abiquiu,00:24,N0
AU719,Abita Springs,00:25,X6
YQ872,Abo,00:27,O7
MR767,Aboite,00:28,K0
WT008,Abraham,00:30,K8
BA675,Abram,00:31,I9
KR387,Abrams,00:33,X1
OH606,Absarokee,00:34,W6
GV911,Absecon,00:35,E8
IL648,Academy,00:37,K0
AI799,Accokeek,00:38,D2
OV129,Accomac,00:40,W2
QV220,Accord,00:41,Z2
KC385,Ace,00:43,A7
BX595,Aceitunas,00:44,A1
KT728,Acequia,00:46,V5
IK153,Achille,00:47,B5
JU423,Achilles,00:48,P9
UY923,Ackerly,00:50,H9
RO374,Ackerman,00:51,A3
LR952,Ackley,00:53,A1
LI214,Ackworth,00:54,E1
PV985,Acme,00:56,R0
TR566,Acomita Lake,00:57,R7
PR479,Acra,00:58,M1
PF951,Acree,01:00,J7
WZ311,Acton,01:01,H1
WU699,Acworth,01:03,X7
TK116,Acy,01:04,R6
KI077,Ada,01:06,J2
IP059,Adair,01:07,L4
WP900,Adair Village,01:09,F8
IG499,Adairsville,01:10,W9
UN488,Adairville,01:11,H1
ZU801,Adams,01:13,V7
NU926,Adams Center,01:14,J6
JU893,Adams City,01:16,V6
WD115,Adamstown,01:17,B1
FG171,Adamsville,01:19,E5
VA338,Adario,01:20,R6
JU919,Addicks,01:22,H9
UG889,Addie,01:23,W9
HV623,Addieville,01:24,L0
DY265,Addington,01:26,S2
KZ834,Addis,01:27,G0
PK538,Addison,01:29,H2
QF771,Addy,01:30,N6
LA212,Addyston,01:32,Y5
QZ611,Adel,01:33,S6
TR839,Adelaide,01:34,R8
ST424,Adelanto,01:36,J9
UJ442,Adelino,01:37,S7
SO915,Adell,01:39,A5
KO333,Adelphi,01:40,W0
YP869,Adelphia,01:42,U4
NS290,Aden,01:43,H4
PF169,Adena,01:45,R1
CM340,Adgateville,01:46,Y2
XT520,Adin,01:47,Z9
IQ522,Adjuntas,01:49,A0
CE466,Admire,01:50,S2
EO912,Adna,01:52,V4
GF062,Adona,01:53,V4
VJ773,Adrian,01:55,Q5
XU158,Advance,01:56,P8
ZK624,Adwolf,01:57,R6
SS747,Ady,01:59,Q7
XI076,Aetna,02:00,V9
ML174,Affton,02:02,Z5
CU163,Afton,02:03,Y7
QE100,Agar,02:05,I9
ST705,Agate,02:06,L2
TT598,Agate Beach,02:08,E8
EC424,Agawam,02:09,S1
OZ015,Agency,02:10,H6
KV805,Agnes,02:12,S7
GK420,Agness,02:13,N4
AS935,Agnew,02:15,C9
MJ601,Agnos,02:16,P3
WM794,Agoura,02:18,E1
YQ558,Agra,02:19,U1
OC799,Agricola,02:21,E1
FR638,Agua Dulce,02:22,H4
WW501,Agua Fria,02:23,C9
LZ364,Aguada,02:25,S7
VA663,Aguadilla,02:26,F7
AT430,Aguanga,02:28,A8
XH697,Aguas Buenas,02:29,C6
YU579,Aguas Claras,02:31,R2
IJ304,Agudo,02:32,T4
VW982,Aguila,02:33,T0
MS072,Aguilar,02:35,N6
UI734,Aguilares,02:36,C7
TY452,Aguilita,02:38,V3
UH269,Ahloso,02:39,B5
CL787,Ahmeek,02:41,H3
EP796,Ahoskie,02:42,V1
VB839,Ahtanum,02:44,F4
EB264,Ahuimanu,02:45,L1
HD046,Ahwahnee,02:46,R5
VM490,Aibonito,02:48,H5
UQ083,Aid,02:49,L9
AI886,Aiea,02:51,D7
MY231,Aiken,02:52,J4
CC057,Ailey,02:54,E6
BU438,Ainsworth,02:55,I0
IF643,Airmont,02:56,Q1
WN295,Airport Drive,02:58,N1
DP084,Airway Heights,02:59,H6
BG728,Aitkin,03:01,R9
UJ276,Ajo,03:02,E7
DN284,Akaska,03:04,R6
JT119,Akeley,03:05,X0
IE141,Akers,03:07,Q2
CS894,Akhiok,03:08,U0
TK732,Akiachak,03:09,K5
ZS785,Akiak,03:11,L7
RE657,Akin,03:12,E0
CJ645,Akra,03:14,A5
MK251,Akron,03:15,K3
FY566,Akutan,03:17,R5
DK868,Alabam,03:18,K6
OH180,Alabaster,03:20,U5
PG813,Aladdin,03:21,B0
KW874,Alakanuk,03:22,F4
DS977,Alamance,03:24,V2
HD615,Alameda,03:25,O5
DH873,Alamo,03:27,E9
VE586,Alamo Alto,03:28,Q4
IJ647,Alamo Heights,03:30,U8
RH853,Alamo Oaks,03:31,G1
RL745,Alamogordo,03:32,T2
ZL169,Alamosa,03:34,R4
LQ110,Alamota,03:35,N6
RC731,Alanreed,03:37,G5
UX905,Alapaha,03:38,V6
BI844,Alba,03:40,I1
JX137,Albany,03:41,X2
GJ205,Albee,03:43,T0
QX544,Albemarle,03:44,K7
MF394,Alberene,03:45,X6
LA890,Alberhill,03:47,Y8
WH457,Albers,03:48,R1
MO299,Albert,03:50,K6
ED548,Albert City,03:51,I4
YR388,Albert Lea,03:53,R8
ZQ045,Alberta,03:54,W4
NS177,Alberton,03:55,Z9
BG485,Albertson,03:57,X7
UV382,Albertville,03:58,O1
IB874,Albin,04:00,H9
WV622,Albion,04:01,N4
XH759,Alborn,04:03,O9
HM899,Albright,04:04,V3
ML494,Albuquerque,04:06,J0
NK105,Alburg,04:07,Z8
XI932,Alburnett,04:08,C6
CC086,Alburtis,04:10,Q6
VF882,Alcalde,04:11,B3
XM781,Alcan,04:13,S9
XE532,Alcester,04:14,K7
MM487,Alco,04:16,G7
ZX268,Alcoa,04:17,M7
SI152,Alcoa Center,04:19,A4
CE927,Alcolu,04:20,I8
TT654,Alcoma,04:21,X1
