FLIGHT NUMBER,DESTINATION,DEPARTURE TIME,GATE NUMBER
NH658,Smith Creek,2:2,D1
ST428,South Prairie,9:33,Q6
HD744,Tallmadge,11:29,L3
AG319,Bremerton,2:36,L5
RI499,Cottonwood Point,18:53,A2
JR024,La Parguera,1:9,Z5
OO416,Keeline,4:55,L7
BT270,Denver City,15:35,M9
HS600,Midville,16:23,J2
PW136,Aynor,8:25,X8
EA726,Daviston,17:40,X6
DI918,Columbus Junction,5:38,L9
SH699,Todd Mission,3:28,K4
EX275,Potter Valley,7:14,K8
SY895,Wesley,14:4,M2
FL774,Tindall,22:56,K3
QZ763,Harrodsburg,0:37,S8
ZI483,Morgans Point,4:50,R3
PF143,Evans City,4:24,F4
YQ284,Coyville,8:11,U2
ST463,Muir,22:40,D3
JR649,Glen Echo Park,1:51,D1
PF255,Westfir,22:18,R5
XA183,Oyster Bay Cove,19:9,L0
MP109,Pound Ridge,7:18,W8
KW274,Richville,5:29,B1
QY430,Ahuimanu,0:22,K9
EK442,Oakley,7:45,U8
CZ169,McPherson,13:3,Y3
CG332,Cross Roads,15:29,L1
MI072,Anaconda,11:51,U1
DZ900,Cheviot,12:5,W0
KR348,Spring Mills,5:43,G3
RL940,Denmark,1:56,A9
UJ225,Mardela Springs,7:2,F1
LH622,Old Westbury,5:26,Y2
II682,Alsuma,12:52,P8
BB306,Zelienople,12:57,F6
PV807,Townsend,6:4,A9
LU317,North Irwin,20:3,X6
WS805,Rios,16:7,F6
XD359,Boston,9:39,U2
JZ541,Little Sauk,16:0,A1
GM175,Pritchett,18:54,T5
OS470,McRae,9:44,Z0
PW126,Richtex,14:3,U4
JJ920,Watersmeet,19:5,T7
YA031,Mize,2:50,S8
BN422,Hazelton,17:55,Z8
YF339,Stoughton,22:3,Y2
AJ328,Mantachie,11:5,N4
UT527,Mount Hebron,14:3,I7
JU398,Worley,8:50,C1
XG061,Jacob Lake,17:41,R0
ZY119,Fort Chadbourne,22:48,W5
CO267,Santa Venetia,9:35,U6
CL820,Craigtown,17:45,L1
BL311,Temple City,21:27,Q1
TK987,Fernan Lake Village,15:0,Q9
RQ818,Dove Creek,1:43,R9
EY807,Hillburn,10:37,F5
QI730,Stickney,21:38,H2
OM556,Fuquay-Varina,13:24,C3
EF862,Schertz,13:49,N4
LE871,Cholame,11:54,B4
UL365,Wheelersburg,0:28,G3
UB395,Oneonta,16:24,Y4
MV622,Gebo,23:5,F0
ME598,Robert Lee,12:12,U6
VH170,Buena Park,23:4,Z7
RZ637,Charlotte Hall,12:14,T4
RT712,Roseville Park,9:56,R2
GJ624,Sespe,20:13,Z6
TR568,Makinen,17:37,O7
EM813,Addieville,18:14,E9
NI791,Santo Domingo,12:59,Z0
KJ789,Tacna,2:0,O1
PK290,Hendrum,17:3,Y8
EM244,Hector,4:32,I6
