Flight Number, Destination, Departure, Time, Gate Number
XT530, Abbeville, 16:54, X9
WS001, Abbotsford, 17:19, I8
CQ010, Abbott, 04:56, P5
GM604, Abbottstown, 19:07, U4
CB302, Abbyville, 14:35, U5
VL508, Abbyville, 14:17, B4
CL698, Abercrombie, 21:17, L0
PS417, Aberfoil, 06:43, M8
IF506, Abernant, 09:27, T9
ZA231, Abernant, 03:35, E2
DL933, Abernathy, 19:53, F6
QN250, Abingdon, 19:05, U3
VY080, Abingdon, 16:45, G9
OF592, Abiquiu, 00:07, F2
GJ459, Abita Springs, 13:39, O2
EL835, Abo, 07:51, J1
PG775, Aboite, 10:36, H0
TX103, Abram, 11:05, E1
HP694, Abrams, 24:00, E7
KJ554, Accord, 11:41, Q3
EE798, Aceitunas, 10:58, J3
IT212, Ackerly, 16:11, P6
IW717, Ackley, 23:49, X2
IN192, Ackworth, 14:35, W2
RW649, Ackworth, 23:20, U0
WJ905, Acme, 16:25, W6
VP200, Acra, 16:33, W2
GG186, Acree, 12:19, T5
QN401, Ada, 03:08, F9
IN692, Adair, 06:22, K3
BR400, Adairsville, 17:41, I5
DA226, Adairville, 12:51, S1
NH706, Adairville, 17:13, C4
SK902, Adairville, 03:58, K0
TI809, Adams, 09:13, W5
CQ556, Adams City, 01:39, E9
GW056, Adamsville, 01:50, U2
OP911, Addicks, 07:05, M2
CR684, Addicks, 06:19, R8
TY014, Addie, 20:57, H2
HB071, Addis, 02:52, L8
RY211, Addison, 09:09, K5
ER724, Adel, 14:13, Y5
YL169, Adelphia, 21:10, E6
TD029, Adelphia, 09:42, T9
CM486, Aden, 13:13, X2
KC481, Adona, 14:18, U8
SZ227, Advance, 06:05, U5
MR957, Ady, 21:41, M6
RC731, Ady, 16:39, G8
OG568, Affton, 15:00, H7
KX008, Agar, 15:13, G3
LJ096, Agate Beach, 22:52, T5
LN542, Agate Beach, 18:17, L1
XY550, Agate Beach, 06:01, E9
PB975, Agawam, 13:10, A2
VQ930, Agency, 15:55, C2
BL389, Agoura, 03:15, B3
QG149, Agricola, 11:30, I8
CO886, Agua Dulce, 08:53, I2
MO329, Agua Dulce, 15:07, Y5
ET025, Agua Fria, 12:36, R0
LO201, Aguas Claras, 06:34, O1
UB798, Agudo, 08:28, K8
KN284, Aguila, 19:25, F6
ZX749, Aguilar, 17:47, C5
BN050, Aguilares, 12:50, L8
KO337, Aguilares, 12:08, M5
BS897, Aguilita, 23:44, J7
TE692, Aguilita, 01:16, Z7
XZ025, Ahoskie, 16:06, O7
OL464, Ahoskie, 04:19, H8
ST800, Ahuimanu, 08:15, F3
KU667, Ahuimanu, 20:20, B5
JI319, Ahwahnee, 09:16, F7
DZ954, Aid, 19:56, H7
MZ334, Ainsworth, 18:41, M9
RY975, Airway Heights, 07:49, N9
PL133, Akaska, 01:52, T9
CX617, Akaska, 00:11, G0
YI829, Akers, 18:09, G4
ZJ219, Akhiok, 11:04, T4
ZA617, Akiachak, 21:37, B8
UE286, Akiachak, 08:32, Q9
MJ409, Akiak, 18:45, C0
CJ900, Akra, 06:21, C3
SJ120, Akron, 12:19, V3
QC386, Akutan, 18:19, K9
IM397, Alakanuk, 02:43, T9
TJ264, Alakanuk, 05:39, W2
JZ574, Alameda, 00:24, T5
XU705, Alamo, 21:18, T2
QA072, Alamo Alto, 05:20, L0
LA544, Alamo Oaks, 09:20, M4
VC606, Alamo Oaks, 03:15, S0
TZ446, Alamo Oaks, 15:08, U2
TX297, Alamota, 10:27, V9
WI276, Alba, 18:13, U3
UM793, Alba, 17:59, I7
GR954, Albany, 07:51, R9
RI177, Albee, 14:57, P4
OJ192, Alberene, 09:05, T3
DO028, Albert Lea, 08:01, Y1
WQ375, Alberton, 23:17, X5
ID605, Albertson, 23:27, O0
LD864, Albin, 09:29, Z4
YS031, Albion, 14:59, H6
YQ584, Albuquerque, 02:45, T8
RY598, Alburg, 04:14, X3
XH451, Alburnett, 20:46, Z9
FW177, Alcalde, 23:31, E8
VU653, Alcan, 09:44, D5
VJ629, Alcoa, 03:56, J4
BS675, Alcoa Center, 05:45, F4
TX163, Alcolu, 04:30, Y4
VZ721, Alcolu, 22:12, V9
CG227, Alcoma, 12:21, V3
BS249, Alda, 15:42, N8
KA394, Alderwood Manor, 14:29, H3
IS996, Aledo, 01:48, P8
ZV929, Aleknagik, 06:18, Y0
QW811, Alexander, 10:32, A0
OG377, Alexandria, 12:27, C4
HG433, Alexandria Bay, 08:51, G2
NM163, Alexis, 16:16, T6
VN419, Alfalfa, 16:58, A9
QD504, Alger, 16:52, A7
JL578, Algodones, 13:52, O3
RZ340, Algonquin, 17:13, K7
PF226, Alhambra, 09:36, R6
AN439, Alhambra, 08:59, P4
SD884, Ali Chukson, 21:30, W5
GA219, Aliceville, 03:42, T7
BQ712, Alicia, 21:41, A1
UN874, Aline, 18:22, X0
EB347, Aline, 14:16, T4
RM488, Alix, 17:40, Z7
PL318, Alkabo, 08:24, V1
QR379, Allamuchy, 10:51, K2
QI457, Allegan, 16:46, D1
LB628, Alleghany, 16:07, A3
BW511, Alleghany, 02:50, P6
RO325, Allegre, 19:18, W8
DO132, Allegre, 14:39, R9
NF085, Alleman, 07:45, P4
CM751, Allenhurst, 11:04, A7
NQ779, Allenport, 23:57, H2
OH711, Allenport, 08:03, N4
WL487, Allenspark, 09:55, E9
BC067, Allenville, 01:49, Q4
VT950, Allerton, 02:02, M1
LI866, Allgood, 16:06, N3
SH635, Allgood, 03:00, N2
ZU992, Allgood, 16:50, F2
VJ774, Alligator, 18:23, W7
QS800, Alligator, 21:53, T7
IS491, Allison, 18:58, B8
GZ776, Allison Gap, 04:15, Q5
WK149, Allison Park, 21:26, V9
GL920, Alloway, 01:40, H8
XZ640, Allyn, 18:52, M1
QQ352, Almonte, 21:31, P9
MM399, Alnwick, 06:35, J8
AV055, Alnwick, 05:39, B9
AH821, Aloe, 18:43, V6
KC143, Alondra Park, 12:36, N0
CD953, Alondra Park, 18:33, Y5
KZ115, Alsey, 15:44, I3
ZO054, Alston, 19:32, O6
RS544, Alta, 14:34, U0
VR898, Alta Loma, 08:11, T4
WS515, Alta Sierra, 13:43, Y3
QX338, Alta Vista, 11:52, F8
IF710, Altair, 00:27, S8
YA843, Altamahaw, 06:06, T9
DD950, Altamont, 17:04, S1
AV084, Altamont, 22:12, E7
JV529, Altenburg, 11:05, W6
XU266, Altenburg, 14:10, N9
RM667, Altheimer, 21:00, M9
JK030, Altmar, 18:20, B4
GD433, Altona, 12:06, S3
QQ835, Altona, 23:55, J1
WM632, Alturas, 13:23, O0
WH592, Alturas, 03:01, X6
UE044, Altus, 01:11, P5
SR787, Alva, 15:10, B6
NA138, Alva, 22:19, Y4
UE803, Alvin, 04:51, I2
WW736, Alvord, 12:23, M1
YU063, Alvwood, 09:15, K7
VI601, Alzada, 20:39, T1
PF188, Amalga, 06:44, R0
NA118, Amanda Park, 23:17, K4
YI619, Amargosa Valley, 01:39, F9
LG239, Amargosa Valley, 04:03, I4
PU726, Amarillo, 19:35, M5
BJ403, Amazonia, 02:48, S5
QA332, Amazonia, 23:11, V6
DA273, Amberg, 05:37, G0
WL084, Amberley, 09:12, Y7
KG706, Amelia City, 12:55, H7
OO967, American Falls, 03:41, I5
KU709, Americus, 23:11, O5
KH584, Amesbury, 05:25, R4
DM777, Amesville, 17:56, S4
KQ925, Amistad, 20:10, X9
TM630, Amsden, 12:12, U0
YU727, Amsden, 06:03, R1
XS457, Amy, 09:24, X1
NK947, Amy, 09:50, W3
YC041, Anacoco, 23:21, D7
KG678, Anaheim, 23:53, B0
PG214, Anaktuvuk Pass, 14:07, A3
