FLIGHT NUMBER,DESTINATION,DEPARTURE TIME,GATE NUMBER
RM278,Zwolle,23:59,J8
EH390,Zwingle,23:57,C9
UI305,Zurich,23:56,N7
UN662,Zuni,23:54,T0
FH814,Zumbrota,23:53,Y7
IB434,Zumbro Falls,23:51,W9
PD874,Zona,23:50,C6
QU879,Zolfo Springs,23:48,S5
GM168,Zoar,23:47,W1
PZ179,Zita,23:46,I7
MX791,Zionsville,23:44,S3
QL269,Zion,23:43,Y5
KH074,Zinc,23:41,Y6
KH296,Zimmerman,23:40,X2
ET367,Zim,23:38,O2
SY150,Zilwaukee,23:37,E8
QL487,Zillah,23:35,Q6
PF056,Zia Pueblo,23:34,C5
IW944,Zephyrhills,23:33,D9
TI907,Zephyr Cove,23:31,L8
YL411,Zephyr,23:30,F1
XF560,Zenith,23:28,E2
MQ287,Zenda,23:27,I7
BZ229,Zena,23:25,K7
CW351,Zemple,23:24,O0
GI213,Zellwood,23:23,P7
JI235,Zell,23:21,X7
VQ724,Zelienople,23:20,L6
IA818,Zela,23:18,P1
DW833,Zeigler,23:17,N5
OM926,Zeeland,23:15,G6
YP863,Zebulon,23:14,U3
CY450,Zebina,23:12,U1
JE911,Zearing,23:11,Y4
GN811,Zavalla,23:10,G0
GU963,Zarah,23:08,H3
YA351,Zapata,23:07,H4
MJ720,Zap,23:05,A3
HP254,Zanesville,23:04,B6
BE424,Zanesfield,23:02,X8
RI679,Zama,23:01,K6
IY432,Zalma,23:00,A1
FV787,Zaleski,22:58,M1
OI667,Zahl,22:57,J4
AW887,Zag,22:55,C1
UK620,Zafra,22:54,I1
TI368,Zachary,22:52,Z6
QT763,Yutan,22:51,M1
OZ119,Yuma,22:49,S9
UB517,Yulee,22:48,W2
PN855,Yukon,22:47,L6
PZ082,Yucca Valley,22:45,X9
IB916,Yucca,22:44,F9
LT027,Yucaipa,22:42,U7
NJ772,Yuba City,22:41,V8
GE784,Yuba,22:39,I7
JH547,Yscloskey,22:38,O1
EK441,Yreka,22:36,Q4
YD368,Ypsilanti,22:35,L0
UM534,Yountville,22:34,K8
GY353,Youngwood,22:32,K1
XS780,Youngtown,22:31,P8
FT273,Youngsville,22:29,E3
OK695,Youngstown,22:28,K9
DS382,Young Harris,22:26,F6
GI379,Young America,22:25,C4
MK303,Yosemite Village,22:24,S7
UM636,Yosemite,22:22,C4
QM303,Yorkville,22:21,L0
JW718,Yorktown Heights,22:19,J4
XI599,Yorktown,22:18,X4
KP530,Yorkshire,22:16,C2
QA837,Yorklyn,22:15,I1
EV075,Yorkfield,22:13,O9
GY104,Yorketown,22:12,A0
MW712,Yorkana,22:11,X0
UP542,York Springs,22:09,R2
TW249,York Haven,22:08,Q1
JB312,York Center,22:06,Z7
OS975,York,22:05,G3
IY639,Yorba Linda,22:03,A2
IN582,Yonkers,22:02,V6
ZO806,Yoncalla,22:01,L7
LL853,Yoman,21:59,V1
HJ637,Yolo,21:58,N7
BK993,Yoe,21:56,P3
IN755,Yoder,21:55,O6
SH143,Yocemento,21:53,W5
WN669,Yoakum,21:52,R3
MU637,Yewed,21:50,L8
UV543,Yetter,21:49,T0
JZ671,Yerkes,21:48,N8
OO120,Yerington,21:46,P0
AF930,Yeoman,21:45,C8
RY588,Yemassee,21:43,Y1
PJ814,Yelvington,21:42,K9
QN244,Yelm,21:40,X7
CB057,Yellville,21:39,R5
AP824,Yellow Springs,21:37,B4
OR911,Yellow Pine,21:36,V6
AR996,Yellow Lake,21:35,B5
IX251,Yellow Jacket,21:33,A4
EC293,Yellow Bluff,21:32,S2
IF257,Yeddo,21:30,A3
PZ628,Yeagertown,21:29,L0
FY291,Yeager,21:27,U5
DD747,Yeadon,21:26,U6
KC293,Yazoo City,21:25,B9
GE036,Yaurel,21:23,A6
OF700,Yaupon Beach,21:22,D3
KZ649,Yauco,21:20,M5
MD376,Yatesville,21:19,P3
MP751,Yatesboro,21:17,Z0
CR697,Yates City,21:16,S0
ZL071,Yates Center,21:14,J4
FX470,Yates,21:13,N0
BJ227,Yarrow Point,21:12,J0
PP646,Yarnell,21:10,D4
GR391,Yarmouth Port,21:09,B3
YR983,Yarmouth,21:07,H6
ZW914,Yardville,21:06,N8
KW296,Yardley,21:04,Z1
GX622,Yarbo,21:03,B9
KA961,Yaphank,21:02,P0
BY497,Yanush,21:00,I8
HB212,Yantis,20:59,K4
YQ416,Yankton,20:57,Q5
NT681,Yankeetown,20:56,R0
AA411,Yankee Lake,20:54,O1
VI098,Yancopin,20:53,N1
XY916,Yancey,20:51,L2
WP993,Yampai,20:50,V8
HO600,Yampa,20:49,F0
EW704,Yamhill,20:47,S3
GQ529,Yale,20:46,U1
KD278,Yalaha,20:44,N1
TR121,Yakutat,20:43,N3
