FLIGHT NUMBER,DESTINATION,DEPARTURE TIME,GATE NUMBER
IB423,Abbeville,00:00,D9
DA618,Abbotsford,00:00,M5
GM180,Abbott,00:00,Q2
UH601,Abbottsburg,00:00,M0
XZ022,Abbottstown,00:00,O4
YV329,Abbyville,00:00,T3
ZK423,Abell,00:00,O3
EO228,Abercrombie,00:01,E8
WF970,Aberdeen,00:01,M3
YU255,Aberfoil,00:01,A6
MX494,Abernant,00:01,J9
GH640,Abernathy,00:01,V5
WO607,Abeytas,00:01,C3
HO992,Abie,00:01,X0
ID955,Abilene,00:02,W3
TB792,Abingdon,00:02,U6
QW625,Abington,00:02,I2
DJ743,Abiquiu,00:02,M3
LJ095,Abita Springs,00:02,C2
HT234,Abo,00:02,R4
FB899,Aboite,00:02,P5
IT344,Abraham,00:03,D2
CU107,Abram,00:03,M8
BZ754,Abrams,00:03,I3
IR711,Absarokee,00:03,Q2
TE976,Absecon,00:03,I1
ZT657,Academy,00:03,Q7
DW332,Accokeek,00:03,A3
XH781,Accomac,00:04,Q6
ZG682,Accord,00:04,H7
KD187,Ace,00:04,B9
IX795,Aceitunas,00:04,E5
SW273,Acequia,00:04,Z2
HC185,Achille,00:04,D8
QN390,Achilles,00:04,I5
HC543,Ackerly,00:05,F7
FY792,Ackerman,00:05,Q0
SU546,Ackley,00:05,P4
NU679,Ackworth,00:05,I8
EF669,Acme,00:05,N9
DJ290,Acomita Lake,00:05,V7
JV014,Acra,00:05,G6
AN047,Acree,00:06,E3
RX205,Acton,00:06,C3
BC313,Acworth,00:06,T1
UP463,Acy,00:06,U0
VH378,Ada,00:06,U9
ZY527,Adair,00:06,N5
NQ280,Adair Village,00:06,O8
CN477,Adairsville,00:07,K5
SL661,Adairville,00:07,B4
YH837,Adams,00:07,T6
WB252,Adams Center,00:07,Z6
KP515,Adams City,00:07,X6
DO245,Adamstown,00:07,W2
OI727,Adamsville,00:07,W1
BT281,Adario,00:08,X5
GZ523,Addicks,00:08,W1
ZJ442,Addie,00:08,P2
IX806,Addieville,00:08,Z7
HO494,Addington,00:08,S9
YD711,Addis,00:08,Z1
GU643,Addison,00:08,J7
OQ370,Addy,00:09,H4
MF787,Addyston,00:09,W4
FQ140,Adel,00:09,O4
MM132,Adelaide,00:09,W5
TE251,Adelanto,00:09,A5
PU057,Adelino,00:09,T6
VC963,Adell,00:09,Q2
BZ779,Adelphi,00:10,G3
ZP408,Adelphia,00:10,U4
AM954,Aden,00:10,C6
YF737,Adena,00:10,Q6
PN720,Adgateville,00:10,P5
BP046,Adin,00:10,N7
EU118,Adjuntas,00:10,A3
QT093,Admire,00:11,M1
CR753,Adna,00:11,R9
LB918,Adona,00:11,H7
TE960,Adrian,00:11,I9
VV087,Advance,00:11,S4
OB515,Adwolf,00:11,L9
ET085,Ady,00:11,O4
IO008,Aetna,00:12,O4
XB310,Affton,00:12,X7
WR560,Afton,00:12,Q3
WR077,Agar,00:12,X1
DL127,Agate,00:12,Y2
MC262,Agate Beach,00:12,B3
UV011,Agawam,00:12,C3
FY640,Agency,00:13,B7
IC071,Agnes,00:13,E7
NU175,Agness,00:13,P5
IZ937,Agnew,00:13,X0
HO607,Agnos,00:13,U0
QJ239,Agoura,00:13,F8
QF013,Agra,00:13,F7
CZ623,Agricola,00:14,Q7
GV997,Agua Dulce,00:14,Z3
FW949,Agua Fria,00:14,V7
SW873,Aguada,00:14,Z9
PC587,Aguadilla,00:14,B1
QQ254,Aguanga,00:14,W4
AN491,Aguas Buenas,00:14,C0
SC954,Aguas Claras,00:15,V0
MC442,Agudo,00:15,A0
YM273,Aguila,00:15,J7
AX612,Aguilar,00:15,W5
BR526,Aguilares,00:15,M5
DY879,Aguilita,00:15,F4
ET125,Ahloso,00:15,Q2
WX981,Ahmeek,00:16,J4
PF764,Ahoskie,00:16,N3
DO327,Ahtanum,00:16,H9
ZB307,Ahuimanu,00:16,Q6
HK767,Ahwahnee,00:16,S5
DQ946,Aibonito,00:16,Z9
