FLIGHT NUMBER,DESTINATION,DEPARTURE TIME,GATE NUMBER
XB143,Kankakee,02:52,O3
MY534,Hemphill,19:04,M5
HP743,Chickamaw Beach,05:54,J7
OQ837,Bloomfield,21:58,G4
RH271,Gully,18:44,E6
RU728,Garibaldi,16:19,R2
GA344,Haddonfield,01:54,P2
LY778,Regan,10:46,O1
MO772,Haleyville,16:23,I5
TM071,Schell City,00:29,S6
TH291,Dannebrog,19:23,M0
EY776,Valley Brook,06:25,N0
SX859,Derby Center,03:49,U8
OS738,Elk Falls,19:14,J5
JO810,Concession,08:51,F2
YM292,Vidette,23:57,D0
LN580,Bete Grise,01:47,G0
AT969,East Providence,14:11,M8
KC072,Valley Stream,10:09,K1
PU474,Ramhurst,16:46,F6
EU505,Shedd,01:03,Y3
JI884,Wanaque,22:17,S9
FJ378,Kensington Park,03:12,Z1
SH667,Toy,12:53,P6
MW594,Miamiville,20:25,G5
QA261,Ravensdale,02:30,J3
RX535,Halley,02:39,L3
MF819,Lava Hot Springs,18:34,Z5
QM008,Corn,04:02,O6
RB152,Kelsay,01:19,P4
CY017,Maalaea,16:46,Z6
UY994,Liverpool,04:52,R6
VV653,Beverly,23:11,G1
EP533,Indrio,18:23,W6
CA671,Webb City,07:54,K2
GD057,Leggett,20:45,K7
IW442,Brock,03:31,O4
UN874,Aline,18:22,X0
ER485,Plymouth Meeting,08:34,T1
ML466,Newfolden,15:10,F0
IE709,Padroni,04:09,I4
MU059,Hardman,04:56,Q8
QH866,Scottsville,17:10,O5
MK418,Salyer,21:10,Y3
BE809,Okawville,05:50,O8
UJ276,Idledale,18:24,J1
RY408,Tyhee,01:29,R2
AG965,Malabar,11:30,S9
RR618,Caruthers,19:51,N1
OY804,Twin Lakes,03:29,A3
XC418,Harrold,04:01,B6
ZQ663,Forest Acres,02:48,I6
XF050,Pathfork,23:51,F1
XR984,Tie Plant,01:02,T0
IH439,Ravinia,15:48,X1
TJ264,Alakanuk,05:39,W2
AH487,Mount Selman,17:03,E2
SU871,Rich Bar,21:13,D7
OV161,Tina,14:39,F8
ZF841,Henriette,20:43,I7
YH052,Tekoa,15:43,B5
EF732,Barnum,14:46,N9
MX169,Old Bridge,16:14,A1
CQ553,Timonium,20:49,G2
GH311,Leedy,18:17,M4
NG415,Holbrook,03:04,Y3
DA464,Mechanicsburg,00:58,W3
XD306,Symerton,21:58,W3
AJ907,Paddock Lake,00:51,O1
WE463,Sierraville,10:29,U4
KE469,Proctor,13:32,J9
AI464,West Carrollton City,16:54,T3
AE187,Bains,21:11,G3
PJ554,Steeleville,10:35,F8
LF526,Boon,21:54,G3
CJ998,Molson,09:23,Q9
DL962,Pledger,05:57,D2
GC327,Luis Llorens Torres,11:49,C9
PQ250,West Riverside,16:06,A8
UU290,Jersey City,22:19,Q6
QW718,Ponderosa,18:44,B6
BO692,Culloden,00:05,J1
FL667,Shopton,02:22,B1
MR870,Mobile,08:24,X4
MN253,Copemish,06:42,J2
FB182,Ellenburg Depot,23:58,J9
SR947,Upson,10:55,I1
FV083,Louisiana,15:36,K6
SJ710,Sisters,11:44,J2
DL138,Southern Pines,02:21,O1
DP221,Jay,18:04,N5
PO992,Glenn Dale,14:54,U7
VA126,Cady,14:00,R1
SS676,Cannelburg,17:34,J5
JV774,Kouts,12:04,F4
NW774,Hoosick Falls,21:18,N4
AU410,Bodega Bay,00:07,Y9
GH254,Ballinger,22:16,M0
CD966,Hasson Heights,02:44,T6
DW539,Vaudreuil,09:23,L9
ZP034,Galateo,17:46,E6
AD468,El Sauz,23:02,E0
VO574,Winfield,22:24,L9
SD264,Arkoma,22:51,T7
KS052,Indian River Shores,07:00,X2
FN437,Lost Springs,19:18,J2
PC985,Metzger,11:13,U0
DS304,Frederick,22:01,V6
YI979,Becida,05:06,E9
QI902,Fierro,07:17,B5
SA902,Plankinton,19:00,I5
FD072,Fierro,21:22,R8
JY151,North Newton,09:12,E4
KP497,Covedale,22:34,C9
UN673,Mansura,08:28,K4
XJ706,Penns Grove,07:22,S6
HZ684,Raeville,14:52,W2
SI604,Doles,11:52,O5
CJ263,Loreauville,19:28,R0
OB487,Marks,01:38,G2
ZJ797,Masonboro,02:21,I9
NR016,Wallingford,07:44,J8
JG210,Talowah,20:51,Y3
ZO859,Chest Springs,03:10,C1
WB423,Stewartstown,23:17,Z6
EC035,Auburntown,18:39,K4
QG662,Livingston,02:11,N3
VP425,Lake Wynonah,08:16,M9
WN929,Red Springs,09:53,W1
GI221,Hagewood,01:38,V7
LH040,Ovett,00:33,D8
YZ177,Haines City,20:09,G2
FM393,Jameson,11:12,I7
GS870,Frenchton,05:09,D8
JL935,Berkeley Lake,02:18,O0
AK523,West Lincoln,09:11,F6
FN721,Meppen,10:38,S8
EX624,Big Pine,11:49,Q6
QY778,Tallula,12:25,N5
LX286,Candelero Arriba,10:06,Q2
LD952,Gulf Gate Estates,08:31,X5
UF942,Auburndale,04:13,E9
HO963,Rockleigh,22:34,K9
FF069,Elsberry,12:42,G1
ZA360,Sextonville,15:30,E9
KL583,Panora,16:37,W6
PL363,Kisatchie,04:18,P3
ZJ528,Mount Healthy,04:17,R4
BX930,Cayuga Heights,14:33,Q0
XJ190,Coplay,15:36,M4
BK985,Botkins,21:52,S1
BS019,Washington Heights,04:41,R7
EK958,Metzger,02:56,K8
AI880,Magalia,07:17,F2
PW197,Gholson,16:01,H5
UN448,Park Forest,00:14,T2
GY267,Empire City,01:47,F4
VM340,Healy,11:07,B5
GZ025,Kermit,11:31,B6
XP745,Antelope,16:51,N0
SI724,Mead,15:52,M2
JW008,Mountain City,17:19,O3
FZ422,Poncha Springs,04:23,H4
UX844,Lamboglia,00:04,S0
KE654,Bushong,23:09,O8
SS781,Moccasin,11:26,F3
BM105,DuPont,01:31,V3
HB104,Saint Maurice,12:00,G6
ZO576,Dubois,04:03,U1
CN701,Sylvia,08:33,X8
EQ895,Bucyrus,02:13,D8
